fixture_id,season,round,date,status_type,home_team,away_team,home_goals,away_goals,group
12057868,24/25,1,2024-09-07 18:45:00+00:00,finished,Greece,Finland,3.0,0.0,"UEFA Nations League, League B, Gr. 2"
12057814,24/25,2,2024-09-08 13:00:00+00:00,finished,Luxembourg,Belarus,0.0,1.0,"UEFA Nations League, League C, Gr. 3"
12057815,24/25,2,2024-09-08 16:00:00+00:00,finished,Bulgaria,Northern Ireland,1.0,0.0,"UEFA Nations League, League C, Gr. 3"
12057786,24/25,2,2024-09-08 16:00:00+00:00,finished,Gibraltar,Liechtenstein,2.0,2.0,"UEFA Nations League, League D, Gr. 1"
12057891,24/25,2,2024-09-08 16:00:00+00:00,finished,Denmark,Serbia,2.0,0.0,"UEFA Nations League, League A, Gr. 4"
12057830,24/25,2,2024-09-08 16:00:00+00:00,finished,Slovakia,Azerbaijan,2.0,0.0,"UEFA Nations League, League C, Gr. 1"
12057924,24/25,2,2024-09-08 18:45:00+00:00,finished,Croatia,Poland,1.0,0.0,"UEFA Nations League, League A, Gr. 1"
12057936,24/25,2,2024-09-08 18:45:00+00:00,finished,Portugal,Scotland,2.0,1.0,"UEFA Nations League, League A, Gr. 1"
12057885,24/25,2,2024-09-08 18:45:00+00:00,finished,Switzerland,Spain,1.0,4.0,"UEFA Nations League, League A, Gr. 4"
12057827,24/25,2,2024-09-08 18:45:00+00:00,finished,Sweden,Estonia,3.0,0.0,"UEFA Nations League, League C, Gr. 1"
12057819,24/25,2,2024-09-09 16:00:00+00:00,finished,Cyprus,Kosovo,0.0,4.0,"UEFA Nations League, League C, Gr. 2"
12057779,24/25,2,2024-09-09 18:45:00+00:00,finished,Romania,Lithuania,3.0,1.0,"UEFA Nations League, League C, Gr. 2"
12057843,24/25,2,2024-09-09 18:45:00+00:00,finished,Türkiye,Iceland,3.0,1.0,"UEFA Nations League, League B, Gr. 4"
12057851,24/25,2,2024-09-09 18:45:00+00:00,finished,Norway,Austria,2.0,1.0,"UEFA Nations League, League B, Gr. 3"
12057854,24/25,2,2024-09-09 18:45:00+00:00,finished,Slovenia,Kazakhstan,3.0,0.0,"UEFA Nations League, League B, Gr. 3"
12057837,24/25,2,2024-09-09 18:45:00+00:00,finished,Montenegro,Wales,1.0,2.0,"UEFA Nations League, League B, Gr. 4"
12057908,24/25,2,2024-09-09 18:45:00+00:00,finished,France,Belgium,2.0,0.0,"UEFA Nations League, League A, Gr. 2"
12057915,24/25,2,2024-09-09 18:45:00+00:00,finished,Israel,Italy,1.0,2.0,"UEFA Nations League, League A, Gr. 2"
12057802,24/25,2,2024-09-10 16:00:00+00:00,finished,Latvia,Faroe Islands,1.0,0.0,"UEFA Nations League, League C, Gr. 4"
12057904,24/25,2,2024-09-10 18:45:00+00:00,finished,Hungary,Bosnia & Herzegovina,0.0,0.0,"UEFA Nations League, League A, Gr. 3"
12057900,24/25,2,2024-09-10 18:45:00+00:00,finished,Netherlands,Germany,2.0,2.0,"UEFA Nations League, League A, Gr. 3"
12057878,24/25,2,2024-09-10 18:45:00+00:00,finished,Albania,Georgia,0.0,1.0,"UEFA Nations League, League B, Gr. 1"
12057875,24/25,2,2024-09-10 18:45:00+00:00,finished,Czechia,Ukraine,3.0,2.0,"UEFA Nations League, League B, Gr. 1"
12057872,24/25,2,2024-09-10 18:45:00+00:00,finished,England,Finland,2.0,0.0,"UEFA Nations League, League B, Gr. 2"
12057859,24/25,2,2024-09-10 18:45:00+00:00,finished,Ireland,Greece,0.0,2.0,"UEFA Nations League, League B, Gr. 2"
12057800,24/25,2,2024-09-10 18:45:00+00:00,finished,North Macedonia,Armenia,2.0,0.0,"UEFA Nations League, League C, Gr. 4"
12057782,24/25,2,2024-09-10 18:45:00+00:00,finished,Andorra,Malta,0.0,1.0,"UEFA Nations League, League D, Gr. 2"
12057788,24/25,3,2024-10-10 16:00:00+00:00,finished,Moldova,Andorra,2.0,0.0,"UEFA Nations League, League D, Gr. 2"
12057801,24/25,3,2024-10-10 16:00:00+00:00,finished,Latvia,North Macedonia,0.0,3.0,"UEFA Nations League, League C, Gr. 4"
12057905,24/25,3,2024-10-10 18:45:00+00:00,finished,Italy,Belgium,2.0,2.0,"UEFA Nations League, League A, Gr. 2"
12057862,24/25,3,2024-10-10 18:45:00+00:00,finished,England,Greece,1.0,2.0,"UEFA Nations League, League B, Gr. 2"
12057864,24/25,3,2024-10-10 18:45:00+00:00,finished,Finland,Ireland,1.0,2.0,"UEFA Nations League, League B, Gr. 2"
12057853,24/25,3,2024-10-10 18:45:00+00:00,finished,Austria,Kazakhstan,4.0,0.0,"UEFA Nations League, League B, Gr. 3"
12057850,24/25,3,2024-10-10 18:45:00+00:00,finished,Norway,Slovenia,3.0,0.0,"UEFA Nations League, League B, Gr. 3"
12057797,24/25,3,2024-10-10 18:45:00+00:00,finished,Faroe Islands,Armenia,2.0,2.0,"UEFA Nations League, League C, Gr. 4"
12057783,24/25,3,2024-10-10 18:45:00+00:00,finished,Gibraltar,San Marino,1.0,0.0,"UEFA Nations League, League D, Gr. 1"
12057914,24/25,3,2024-10-10 18:45:00+00:00,finished,Israel,France,1.0,4.0,"UEFA Nations League, League A, Gr. 2"
12057822,24/25,3,2024-10-11 16:00:00+00:00,finished,Estonia,Azerbaijan,3.0,1.0,"UEFA Nations League, League C, Gr. 1"
12057895,24/25,3,2024-10-11 18:45:00+00:00,finished,Bosnia & Herzegovina,Germany,1.0,2.0,"UEFA Nations League, League A, Gr. 3"
12057897,24/25,3,2024-10-11 18:45:00+00:00,finished,Hungary,Netherlands,1.0,1.0,"UEFA Nations League, League A, Gr. 3"
12057876,24/25,3,2024-10-11 18:45:00+00:00,finished,Czechia,Albania,2.0,0.0,"UEFA Nations League, League B, Gr. 1"
12057874,24/25,3,2024-10-11 18:45:00+00:00,finished,Ukraine,Georgia,1.0,0.0,"UEFA Nations League, League B, Gr. 1"
12057835,24/25,3,2024-10-11 18:45:00+00:00,finished,Iceland,Wales,2.0,2.0,"UEFA Nations League, League B, Gr. 4"
12057842,24/25,3,2024-10-11 18:45:00+00:00,finished,Türkiye,Montenegro,1.0,0.0,"UEFA Nations League, League B, Gr. 4"
12057821,24/25,3,2024-10-11 18:45:00+00:00,finished,Slovakia,Sweden,2.0,2.0,"UEFA Nations League, League C, Gr. 1"
12057910,24/25,3,2024-10-12 13:00:00+00:00,finished,Lithuania,Kosovo,1.0,2.0,"UEFA Nations League, League C, Gr. 2"
12057923,24/25,3,2024-10-12 16:00:00+00:00,finished,Croatia,Scotland,2.0,1.0,"UEFA Nations League, League A, Gr. 1"
12057813,24/25,3,2024-10-12 16:00:00+00:00,finished,Bulgaria,Luxembourg,0.0,0.0,"UEFA Nations League, League C, Gr. 3"
12057807,24/25,3,2024-10-12 18:45:00+00:00,finished,Belarus,Northern Ireland,0.0,0.0,"UEFA Nations League, League C, Gr. 3"
12057881,24/25,3,2024-10-12 18:45:00+00:00,finished,Spain,Denmark,1.0,0.0,"UEFA Nations League, League A, Gr. 4"
12057825,24/25,3,2024-10-12 18:45:00+00:00,finished,Cyprus,Romania,0.0,3.0,"UEFA Nations League, League C, Gr. 2"
12057926,24/25,3,2024-10-12 18:45:00+00:00,finished,Poland,Portugal,1.0,3.0,"UEFA Nations League, League A, Gr. 1"
12057886,24/25,3,2024-10-12 18:45:00+00:00,finished,Serbia,Switzerland,2.0,0.0,"UEFA Nations League, League A, Gr. 4"
12057856,24/25,4,2024-10-13 13:00:00+00:00,finished,Kazakhstan,Slovenia,0.0,1.0,"UEFA Nations League, League B, Gr. 3"
12057785,24/25,4,2024-10-13 16:00:00+00:00,finished,Malta,Moldova,1.0,0.0,"UEFA Nations League, League D, Gr. 2"
12057778,24/25,4,2024-10-13 16:00:00+00:00,finished,Liechtenstein,Gibraltar,0.0,0.0,"UEFA Nations League, League D, Gr. 1"
12057796,24/25,4,2024-10-13 16:00:00+00:00,finished,Armenia,North Macedonia,0.0,2.0,"UEFA Nations League, League C, Gr. 4"
12057867,24/25,4,2024-10-13 16:00:00+00:00,finished,Finland,England,1.0,3.0,"UEFA Nations League, League B, Gr. 2"
12057860,24/25,4,2024-10-13 18:45:00+00:00,finished,Greece,Ireland,2.0,0.0,"UEFA Nations League, League B, Gr. 2"
12057855,24/25,4,2024-10-13 18:45:00+00:00,finished,Austria,Norway,5.0,1.0,"UEFA Nations League, League B, Gr. 3"
12057794,24/25,4,2024-10-13 18:45:00+00:00,finished,Faroe Islands,Latvia,1.0,1.0,"UEFA Nations League, League C, Gr. 4"
12057871,24/25,4,2024-10-14 16:00:00+00:00,finished,Georgia,Albania,0.0,1.0,"UEFA Nations League, League B, Gr. 1"
12057823,24/25,4,2024-10-14 16:00:00+00:00,finished,Azerbaijan,Slovakia,1.0,3.0,"UEFA Nations League, League C, Gr. 1"
12057840,24/25,4,2024-10-14 18:45:00+00:00,finished,Iceland,Türkiye,2.0,4.0,"UEFA Nations League, League B, Gr. 4"
12057836,24/25,4,2024-10-14 18:45:00+00:00,finished,Wales,Montenegro,1.0,0.0,"UEFA Nations League, League B, Gr. 4"
12057826,24/25,4,2024-10-14 18:45:00+00:00,finished,Estonia,Sweden,0.0,3.0,"UEFA Nations League, League C, Gr. 1"
12057901,24/25,4,2024-10-14 18:45:00+00:00,finished,Germany,Netherlands,1.0,0.0,"UEFA Nations League, League A, Gr. 3"
12057870,24/25,4,2024-10-14 18:45:00+00:00,finished,Ukraine,Czechia,1.0,1.0,"UEFA Nations League, League B, Gr. 1"
12057913,24/25,4,2024-10-14 18:45:00+00:00,finished,Italy,Israel,4.0,1.0,"UEFA Nations League, League A, Gr. 2"
12057907,24/25,4,2024-10-14 18:45:00+00:00,finished,Belgium,France,1.0,2.0,"UEFA Nations League, League A, Gr. 2"
12057902,24/25,4,2024-10-14 18:45:00+00:00,finished,Bosnia & Herzegovina,Hungary,0.0,2.0,"UEFA Nations League, League A, Gr. 3"
12057804,24/25,4,2024-10-15 18:45:00+00:00,finished,Northern Ireland,Bulgaria,5.0,0.0,"UEFA Nations League, League C, Gr. 3"
12057781,24/25,4,2024-10-15 18:45:00+00:00,finished,Lithuania,Romania,1.0,2.0,"UEFA Nations League, League C, Gr. 2"
12057808,24/25,4,2024-10-15 18:45:00+00:00,finished,Belarus,Luxembourg,1.0,1.0,"UEFA Nations League, League C, Gr. 3"
12057818,24/25,4,2024-10-15 18:45:00+00:00,finished,Kosovo,Cyprus,3.0,0.0,"UEFA Nations League, League C, Gr. 2"
12057922,24/25,4,2024-10-15 18:45:00+00:00,finished,Scotland,Portugal,0.0,0.0,"UEFA Nations League, League A, Gr. 1"
12057888,24/25,4,2024-10-15 18:45:00+00:00,finished,Spain,Serbia,3.0,0.0,"UEFA Nations League, League A, Gr. 4"
12057883,24/25,4,2024-10-15 18:45:00+00:00,finished,Switzerland,Denmark,2.0,2.0,"UEFA Nations League, League A, Gr. 4"
12057927,24/25,4,2024-10-15 18:45:00+00:00,finished,Poland,Croatia,3.0,3.0,"UEFA Nations League, League A, Gr. 1"
12057846,24/25,5,2024-11-14 15:00:00+00:00,finished,Kazakhstan,Austria,0.0,2.0,"UEFA Nations League, League B, Gr. 3"
12057795,24/25,5,2024-11-14 17:00:00+00:00,finished,Armenia,Faroe Islands,0.0,1.0,"UEFA Nations League, League C, Gr. 4"
12057848,24/25,5,2024-11-14 19:45:00+00:00,finished,Slovenia,Norway,1.0,4.0,"UEFA Nations League, League B, Gr. 3"
12057863,24/25,5,2024-11-14 19:45:00+00:00,finished,Ireland,Finland,1.0,0.0,"UEFA Nations League, League B, Gr. 2"
12057858,24/25,5,2024-11-14 19:45:00+00:00,finished,Greece,England,0.0,3.0,"UEFA Nations League, League B, Gr. 2"
12057792,24/25,5,2024-11-14 19:45:00+00:00,finished,North Macedonia,Latvia,1.0,0.0,"UEFA Nations League, League C, Gr. 4"
12057906,24/25,5,2024-11-14 19:45:00+00:00,finished,Belgium,Italy,0.0,1.0,"UEFA Nations League, League A, Gr. 2"
12057916,24/25,5,2024-11-14 19:45:00+00:00,finished,France,Israel,0.0,0.0,"UEFA Nations League, League A, Gr. 2"
12057777,24/25,5,2024-11-15 17:00:00+00:00,finished,Cyprus,Lithuania,2.0,1.0,"UEFA Nations League, League C, Gr. 2"
12057930,24/25,5,2024-11-15 19:45:00+00:00,finished,Portugal,Poland,5.0,1.0,"UEFA Nations League, League A, Gr. 1"
12057918,24/25,5,2024-11-15 19:45:00+00:00,finished,Scotland,Croatia,1.0,0.0,"UEFA Nations League, League A, Gr. 1"
12057884,24/25,5,2024-11-15 19:45:00+00:00,finished,Denmark,Spain,1.0,2.0,"UEFA Nations League, League A, Gr. 4"
12057889,24/25,5,2024-11-15 19:45:00+00:00,finished,Switzerland,Serbia,1.0,1.0,"UEFA Nations League, League A, Gr. 4"
12057816,24/25,5,2024-11-15 19:45:00+00:00,canceled,Romania,Kosovo,3.0,0.0,"UEFA Nations League, League C, Gr. 2"
12057812,24/25,5,2024-11-15 19:45:00+00:00,finished,Luxembourg,Bulgaria,0.0,1.0,"UEFA Nations League, League C, Gr. 3"
12057803,24/25,5,2024-11-15 19:45:00+00:00,finished,Northern Ireland,Belarus,2.0,0.0,"UEFA Nations League, League C, Gr. 3"
12265085,24/25,5,2024-11-15 19:45:00+00:00,finished,San Marino,Gibraltar,1.0,1.0,"UEFA Nations League, League D, Gr. 1"
12057828,24/25,5,2024-11-16 14:00:00+00:00,finished,Azerbaijan,Estonia,0.0,0.0,"UEFA Nations League, League C, Gr. 1"
12057784,24/25,5,2024-11-16 17:00:00+00:00,finished,Andorra,Moldova,0.0,1.0,"UEFA Nations League, League D, Gr. 2"
12057838,24/25,5,2024-11-16 17:00:00+00:00,finished,Türkiye,Wales,0.0,0.0,"UEFA Nations League, League B, Gr. 4"
12057834,24/25,5,2024-11-16 17:00:00+00:00,finished,Montenegro,Iceland,0.0,2.0,"UEFA Nations League, League B, Gr. 4"
12057869,24/25,5,2024-11-16 17:00:00+00:00,finished,Georgia,Ukraine,1.0,1.0,"UEFA Nations League, League B, Gr. 1"
12057899,24/25,5,2024-11-16 19:45:00+00:00,finished,Germany,Bosnia & Herzegovina,7.0,0.0,"UEFA Nations League, League A, Gr. 3"
12057892,24/25,5,2024-11-16 19:45:00+00:00,finished,Netherlands,Hungary,4.0,0.0,"UEFA Nations League, League A, Gr. 3"
12057866,24/25,5,2024-11-16 19:45:00+00:00,finished,Albania,Czechia,0.0,0.0,"UEFA Nations League, League B, Gr. 1"
12057829,24/25,5,2024-11-16 19:45:00+00:00,finished,Sweden,Slovakia,2.0,1.0,"UEFA Nations League, League C, Gr. 1"
12057791,24/25,6,2024-11-17 14:00:00+00:00,finished,North Macedonia,Faroe Islands,1.0,0.0,"UEFA Nations League, League C, Gr. 4"
12057793,24/25,6,2024-11-17 14:00:00+00:00,finished,Latvia,Armenia,1.0,2.0,"UEFA Nations League, League C, Gr. 4"
12057845,24/25,6,2024-11-17 17:00:00+00:00,finished,Norway,Kazakhstan,5.0,0.0,"UEFA Nations League, League B, Gr. 3"
12057844,24/25,6,2024-11-17 17:00:00+00:00,finished,Austria,Slovenia,1.0,1.0,"UEFA Nations League, League B, Gr. 3"
12057861,24/25,6,2024-11-17 17:00:00+00:00,finished,England,Ireland,5.0,0.0,"UEFA Nations League, League B, Gr. 2"
12057857,24/25,6,2024-11-17 17:00:00+00:00,finished,Finland,Greece,0.0,2.0,"UEFA Nations League, League B, Gr. 2"
12057965,24/25,6,2024-11-17 19:45:00+00:00,finished,Israel,Belgium,1.0,0.0,"UEFA Nations League, League A, Gr. 2"
12057911,24/25,6,2024-11-17 19:45:00+00:00,finished,Italy,France,1.0,3.0,"UEFA Nations League, League A, Gr. 2"
12057917,24/25,6,2024-11-18 19:45:00+00:00,finished,Croatia,Portugal,1.0,1.0,"UEFA Nations League, League A, Gr. 1"
12057920,24/25,6,2024-11-18 19:45:00+00:00,finished,Poland,Scotland,1.0,2.0,"UEFA Nations League, League A, Gr. 1"
12057890,24/25,6,2024-11-18 19:45:00+00:00,finished,Serbia,Denmark,0.0,0.0,"UEFA Nations League, League A, Gr. 4"
12057898,24/25,6,2024-11-18 19:45:00+00:00,finished,Spain,Switzerland,3.0,2.0,"UEFA Nations League, League A, Gr. 4"
12057780,24/25,6,2024-11-18 19:45:00+00:00,finished,Kosovo,Lithuania,1.0,0.0,"UEFA Nations League, League C, Gr. 2"
12057811,24/25,6,2024-11-18 19:45:00+00:00,finished,Romania,Cyprus,4.0,1.0,"UEFA Nations League, League C, Gr. 2"
12057809,24/25,6,2024-11-18 19:45:00+00:00,finished,Bulgaria,Belarus,1.0,1.0,"UEFA Nations League, League C, Gr. 3"
12057806,24/25,6,2024-11-18 19:45:00+00:00,finished,Luxembourg,Northern Ireland,2.0,2.0,"UEFA Nations League, League C, Gr. 3"
12057790,24/25,6,2024-11-18 19:45:00+00:00,finished,Liechtenstein,San Marino,1.0,3.0,"UEFA Nations League, League D, Gr. 1"
12057776,24/25,6,2024-11-19 19:45:00+00:00,finished,Malta,Andorra,0.0,0.0,"UEFA Nations League, League D, Gr. 2"
12057824,24/25,6,2024-11-19 19:45:00+00:00,finished,Sweden,Azerbaijan,6.0,0.0,"UEFA Nations League, League C, Gr. 1"
12057820,24/25,6,2024-11-19 19:45:00+00:00,finished,Slovakia,Estonia,1.0,0.0,"UEFA Nations League, League C, Gr. 1"
12057833,24/25,6,2024-11-19 19:45:00+00:00,finished,Wales,Iceland,4.0,1.0,"UEFA Nations League, League B, Gr. 4"
12057893,24/25,6,2024-11-19 19:45:00+00:00,finished,Bosnia & Herzegovina,Netherlands,1.0,1.0,"UEFA Nations League, League A, Gr. 3"
