team,country_code,rank,points,previous_rank,fetched_at,snapshot_date
Myanmar,MMR,158,1009.390464,158,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Moldova,MDA,159,1008.240035,159,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Vanuatu,VUT,160,1002.530511,160,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Malta,MLT,161,992.793497,161,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Antigua and Barbuda,ATG,162,986.584414,162,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Grenada,GRD,163,981.823973,163,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Cuba,CUB,164,981.423455,164,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Eswatini,SWZ,165,979.013939,165,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Saint Lucia,LCA,166,976.708996,166,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Bermuda,BMU,167,975.053746,167,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Papua New Guinea,PNG,168,974.9011,168,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
South Sudan,SSD,169,970.944527,169,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Saint Vincent and the Grenadines,VCT,170,968.269638,170,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Afghanistan,AFG,171,968.073401,171,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Andorra,AND,172,946.429826,172,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Maldives,MDV,173,943.917901,173,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Chinese Taipei,TWN,174,923.782643,174,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Cambodia,KHM,175,922.317911,175,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Montserrat,MSR,176,916.75251,176,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Nepal,NPL,177,914.541224,177,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Mauritius,MUS,178,911.487501,178,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Barbados,BRB,179,909.893208,179,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Belize,BLZ,180,907.001211,180,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Bangladesh,BGD,181,902.92965,181,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Dominica,DMA,182,897.686437,182,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Chad,TCD,183,896.852819,183,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Eritrea,ERI,184,887.063341,184,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Laos,LAO,185,885.028891,185,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Cook Islands,COK,186,877.534995,186,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Sri Lanka,LKA,187,876.858829,187,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Samoa,WSM,188,876.407812,188,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Aruba,ABW,189,875.61115,189,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Mongolia,MNG,190,874.469074,190,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
American Samoa,ASM,191,871.612081,191,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Bhutan,BTN,192,870.806447,192,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Macau,MAC,193,858.03342,193,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Brunei Darussalam,BRN,194,857.733061,194,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
São Tomé and Príncipe,STP,195,855.438666,195,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Djibouti,DJI,196,853.581786,196,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Cayman Islands,CYM,197,850.061011,197,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Pakistan,PAK,198,840.280827,198,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Somalia,SOM,199,839.169697,199,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Tonga,TON,200,835.64241,200,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
East Timor,TLS,201,830.998683,201,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Gibraltar,GIB,202,820.260818,202,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Guam,GUM,203,819.540575,203,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Seychelles,SYC,204,804.161509,204,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Turks and Caicos Islands,TCA,205,803.980015,205,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Liechtenstein,LIE,206,797.701009,206,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Bahamas,BHS,207,786.816217,207,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
US Virgin Islands,VIR,208,779.764266,208,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
British Virgin Islands,VGB,209,777.405734,209,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
Anguilla,AIA,210,760.251852,210,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
San Marino,SMR,211,721.201827,211,2026-09-22 09:36:45.962726+00:00,2026-09-22 00:00:00+00:00
